,Census Tract,County,"Hospitalization_Census_Tract_Rate_per_100,000","Hospitlization_State_Rate_per_100,000",Adult_Pop_Over_18,Census_Tract_Estimate,Pop_Total,Pop_Density/Sq_Mile,Percent_Poverty,Median_Household_Income,Poverty_Mean_Household_Income,Per_Capita_Income,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,Low_Income_Tract,Percent_Education_Population_AgeOver24_LessThan9th,Percent_Education_Population_AgeOver24_NoHSDiploma,Percent_Education_Population_AgeOver24_HSD_Higher,Percent_Education_Population_AgeOver24_Bachelors_Higher
1199,8005086300,ARAPAHOE,1499.61,1267.78,3529,5.9,4669,2551.4,9.7,74415.0,87151.0,35798,0,0,0,0,1,0,0,0.0,3.2,96.8,49.1
1200,8005006856,ARAPAHOE,1560.15,1267.78,6793,5.0,8745,1188.2,8.6,76305.0,97004.0,38538,1,1,1,0,1,0,1,0.9,7.3,92.7,51.3
1201,8005006857,ARAPAHOE,557.99,1267.78,1732,7.9,2239,2907.8,0.2,145833.0,224704.0,90468,0,0,0,0,1,0,0,0.4,1.1,98.8,79.2
1202,8005006501,ARAPAHOE,1968.84,1267.78,2007,5.0,2289,3521.5,19.4,49279.0,55050.0,30675,0,0,0,0,1,0,1,0.0,1.7,98.3,40.5
1203,8005005623,ARAPAHOE,852.07,1267.78,3326,7.1,4298,2755.1,2.7,101454.0,126364.0,51810,0,0,0,0,1,0,0,0.0,3.5,96.5,65.0
1204,8005006713,ARAPAHOE,806.27,1267.78,1363,4.2,1582,7910.0,6.1,71750.0,76836.0,40824,0,1,0,0,1,0,1,0.5,0.9,99.1,66.5
1205,8005006858,ARAPAHOE,2054.81,1267.78,4123,6.2,5102,4680.7,13.7,65718.0,97953.0,52097,0,1,0,1,1,0,1,0.1,0.6,99.4,70.4
1206,8005005635,ARAPAHOE,888.34,1267.78,4018,8.2,4974,4782.7,4.7,95709.0,116176.0,49164,0,0,0,0,1,0,0,0.4,1.5,98.5,64.8
1207,8005006712,ARAPAHOE,544.59,1267.78,1090,8.7,1385,706.6,4.0,164432.0,286073.0,116810,0,0,0,0,1,0,0,0.0,0.0,100.0,81.6
1209,8005004951,ARAPAHOE,245.37,1267.78,2181,3.2,2268,37800.0,15.7,47760.0,50232.0,30315,0,1,0,1,1,0,1,3.6,5.8,94.2,50.8
1210,8005004952,ARAPAHOE,1083.52,1267.78,2521,4.9,2759,5630.6,13.9,43220.0,54049.0,32452,0,0,0,0,1,0,1,7.6,13.6,86.5,46.1
1211,8005082700,ARAPAHOE,1335.5,1267.78,2820,6.8,3602,7663.8,5.7,76182.0,84398.0,28539,0,0,0,0,1,0,0,7.6,10.2,89.8,27.3
1212,8005082200,ARAPAHOE,1806.01,1267.78,4722,6.1,6222,8296.0,9.4,52205.0,67825.0,24653,0,0,0,0,1,0,0,4.9,11.5,88.6,26.4
1213,8005082500,ARAPAHOE,1693.67,1267.78,1736,6.9,2209,4508.2,7.6,64856.0,80062.0,27865,0,0,0,0,1,0,0,3.1,9.8,90.2,20.3
1214,8005081500,ARAPAHOE,1951.61,1267.78,3026,13.1,3026,4322.9,7.9,36036.0,47401.0,34039,1,1,1,1,1,0,1,0.8,4.0,96.0,41.5
1215,8005006502,ARAPAHOE,1245.97,1267.78,2887,5.5,3531,4708.0,13.7,62755.0,76291.0,32588,0,0,0,0,1,0,0,2.2,8.2,91.8,35.7
1216,8005005552,ARAPAHOE,2050.87,1267.78,1957,7.0,2508,3174.7,27.6,31543.0,40205.0,18520,1,1,1,0,1,0,1,12.5,19.4,80.6,18.9
1217,8005007704,ARAPAHOE,1960.92,1267.78,3637,7.1,5045,15765.6,16.8,44089.0,50526.0,20032,0,1,0,0,1,0,1,4.1,17.4,82.6,20.7
1218,8005084100,ARAPAHOE,3270.12,1267.78,3320,6.1,4389,7439.0,11.0,65651.0,72870.0,26608,0,0,0,0,1,0,0,0.4,3.7,96.3,29.3
1219,8005084500,ARAPAHOE,2032.51,1267.78,2351,6.6,3102,11078.6,10.0,57917.0,68889.0,27498,0,1,0,0,1,0,1,4.5,8.9,91.1,23.3
1220,8005005634,ARAPAHOE,655.4,1267.78,2808,9.3,3137,2010.9,5.7,64939.0,93732.0,50421,0,0,0,0,1,0,0,0.0,3.2,96.8,55.0
1221,8005084900,ARAPAHOE,955.74,1267.78,2712,7.0,3352,4721.1,0.9,148390.0,180357.0,58915,0,0,0,0,1,0,0,0.5,1.3,98.7,63.4
1222,8005081100,ARAPAHOE,2274.43,1267.78,4477,7.1,6048,6434.0,17.9,38642.0,46027.0,20194,0,1,0,0,1,0,1,1.3,7.9,92.2,19.7
1223,8005081200,ARAPAHOE,2003.71,1267.78,3477,7.7,4599,9017.6,15.5,48097.0,57148.0,24466,1,1,1,1,1,0,1,3.2,9.7,90.3,20.7
1224,8005084700,ARAPAHOE,1485.81,1267.78,3468,6.7,4606,6773.5,6.8,75673.0,87377.0,31959,0,0,0,0,1,0,0,2.1,3.9,96.1,35.2
1225,8005084200,ARAPAHOE,2780.83,1267.78,2745,5.7,3826,6712.3,5.2,70365.0,78303.0,26956,0,0,0,0,1,0,0,0.8,3.8,96.2,27.1
1226,8005084300,ARAPAHOE,1715.82,1267.78,2743,6.2,3613,7854.3,9.8,76908.0,86007.0,28948,0,0,0,0,1,0,0,2.6,5.9,94.1,30.5
1227,8005085800,ARAPAHOE,1453.7,1267.78,1327,6.8,1687,4961.8,3.0,78790.0,86444.0,32175,0,0,0,0,1,0,0,0.0,1.7,98.3,35.5
1228,8005083400,ARAPAHOE,1475.02,1267.78,5206,6.9,7435,7081.0,2.7,76339.0,82894.0,26051,0,0,0,0,1,0,0,2.7,9.6,90.4,27.8
1229,8005081300,ARAPAHOE,4252.48,1267.78,2443,6.9,3108,6906.7,16.3,56528.0,67705.0,23729,0,1,0,0,1,0,1,7.6,13.8,86.2,13.5
1230,8005085400,ARAPAHOE,1905.82,1267.78,3354,6.9,4543,6398.6,6.3,123113.0,120651.0,37879,0,0,0,0,1,0,0,1.9,3.9,96.1,52.0
1231,8005086200,ARAPAHOE,1365.31,1267.78,4683,6.2,6675,7761.6,2.7,104079.0,115184.0,34863,0,0,0,0,1,0,0,2.3,3.4,96.6,43.2
1232,8005085700,ARAPAHOE,1227.06,1267.78,3500,5.9,4515,6738.8,4.1,65571.0,78652.0,30635,0,0,0,0,1,0,0,2.4,6.2,93.8,34.1
1233,8005083300,ARAPAHOE,1822.14,1267.78,3594,7.5,4413,5963.5,5.7,76993.0,81031.0,34256,0,0,0,0,1,0,0,2.6,8.1,91.9,27.4
1234,8005084000,ARAPAHOE,1419.03,1267.78,1925,6.6,2570,7787.9,7.2,87270.0,107821.0,33886,0,0,0,0,1,0,0,2.4,8.1,92.0,29.2
1235,8005007703,ARAPAHOE,2220.71,1267.78,3571,6.9,4769,6716.9,19.8,49260.0,66217.0,24794,0,1,0,0,1,0,1,4.8,15.8,84.2,23.5
1236,8005082100,ARAPAHOE,2996.17,1267.78,5066,7.6,7453,9937.3,24.6,64253.0,69464.0,22373,0,1,0,0,1,0,1,4.9,9.5,90.5,26.0
1237,8005081000,ARAPAHOE,2151.08,1267.78,3983,7.6,5922,6437.0,34.2,33071.0,41611.0,17361,0,0,0,0,1,0,1,5.2,20.5,79.5,25.1
1238,8005080300,ARAPAHOE,1518.1,1267.78,4605,9.8,5512,5624.5,8.4,69800.0,82097.0,33698,0,0,0,0,1,0,0,2.1,5.8,94.2,39.8
1239,8005080400,ARAPAHOE,1617.71,1267.78,4128,7.5,5101,5484.9,6.5,63679.0,77527.0,32325,0,0,0,0,1,0,0,1.3,3.6,96.4,40.8
1240,8005080800,ARAPAHOE,2186.74,1267.78,2196,6.9,3463,9894.3,21.0,49083.0,55969.0,18646,0,1,0,0,1,0,1,19.2,30.6,69.4,16.2
1241,8005080900,ARAPAHOE,2382.26,1267.78,3312,7.4,4763,7327.7,20.2,59929.0,70827.0,20977,0,1,0,0,1,0,1,13.7,26.0,74.0,21.7
